"filename", "language", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "MS SQL", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"d:\CS\syncUp-clean\frontend\client\src\components\ui\FilePanel.tsx", "TypeScript JSX", 0, 0, 0, 342, 0, 0, 0, 0, 0, 17, 31, 390
"d:\CS\syncUp-clean\frontend\client\src\components\ui\LoadingScreen.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\CS\syncUp-clean\frontend\client\src\components\ui\NotificationToast.tsx", "TypeScript JSX", 0, 0, 0, 215, 0, 0, 0, 0, 0, 11, 17, 243
"d:\CS\syncUp-clean\frontend\client\src\components\ui\SocketProvider.tsx", "TypeScript JSX", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 10, 111
"d:\CS\syncUp-clean\frontend\client\src\components\ui\WorkspaceProvider.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 30
"d:\CS\syncUp-clean\frontend\client\src\components\ui\modals\AddTaskModal.tsx", "TypeScript JSX", 0, 0, 0, 128, 0, 0, 0, 0, 0, 7, 23, 158
"d:\CS\syncUp-clean\frontend\client\src\components\ui\modals\CreateDocumentModal.tsx", "TypeScript JSX", 0, 0, 0, 339, 0, 0, 0, 0, 0, 12, 28, 379
"d:\CS\syncUp-clean\frontend\client\src\components\ui\modals\CreateProjectModal.tsx", "TypeScript JSX", 0, 0, 0, 101, 0, 0, 0, 0, 0, 1, 12, 114
"d:\CS\syncUp-clean\frontend\client\src\components\ui\modals\DeleteTaskModal.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"d:\CS\syncUp-clean\frontend\client\src\components\ui\modals\ManageMembersModal.tsx", "TypeScript JSX", 0, 0, 0, 193, 0, 0, 0, 0, 0, 7, 22, 222
"d:\CS\syncUp-clean\frontend\client\src\lib\api.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\CS\syncUp-clean\frontend\client\src\lib\fileApi.ts", "TypeScript", 0, 0, 150, 0, 0, 0, 0, 0, 0, 20, 34, 204
"d:\CS\syncUp-clean\frontend\client\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\CS\syncUp-clean\frontend\client\src\lib\workspaceSlug.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\CS\syncUp-clean\frontend\client\src\stores\authStore.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\CS\syncUp-clean\frontend\client\src\stores\fileStore.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"d:\CS\syncUp-clean\frontend\client\src\stores\memberStore.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 8, 42
"d:\CS\syncUp-clean\frontend\client\src\stores\notificationStore.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"d:\CS\syncUp-clean\frontend\client\src\stores\projectStore.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 11, 58
"d:\CS\syncUp-clean\frontend\client\src\stores\taskStore.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 10, 69
"d:\CS\syncUp-clean\frontend\client\src\stores\workspaceStore.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\CS\syncUp-clean\frontend\client\src\types\index.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 3, 75
"d:\CS\syncUp-clean\frontend\client\tsconfig.json", "JSON with Comments", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"d:\CS\syncUp-clean\package-lock.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\CS\syncUp-clean\package.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"Total", "-", 16780, 48, 2338, 4311, 193, 87, 20, 5, 24, 248, 934, 24988
